geography,age,dt,norm_visits
MS,65_plus,19/04/2020,"555,547"
NE,18_24,15/07/2020,"572,199"
LA,25_34,05/03/2020,"2,195,405"
RI,35_44,28/05/2020,"383,141"
IN,65_plus,01/06/2020,"1,835,633"
MS,65_plus,01/08/2020,"1,042,078"
ME,65_plus,22/03/2020,"340,181"
WV,25_34,14/05/2020,"531,250"
ME,55_64,31/08/2020,"647,011"
NM,55_64,06/05/2020,"570,158"
MN,65_plus,14/09/2020,"1,622,303"
ME,55_64,08/06/2020,"438,599"
VA,18_24,03/02/2020,"2,505,395"
CT,45_54,21/07/2020,"1,562,631"
HI,65_plus,09/02/2020,"1,013,692"
OR,35_44,04/03/2020,"1,499,351"
VA,18_24,21/06/2020,"2,123,043"
WV,25_34,19/03/2020,"480,802"
UT,65_plus,11/03/2020,"848,337"
DC,18_24,09/03/2020,"367,442"
ND,45_54,20/08/2020,"314,026"
NC,18_24,26/04/2020,"1,977,516"
DE,25_34,30/05/2020,"380,547"
DC,18_24,29/03/2020,"166,371"
LA,18_24,12/04/2020,"748,472"
NV,25_34,30/06/2020,"1,412,034"
ID,25_34,19/05/2020,"525,296"
WY,65_plus,16/03/2020,"179,035"
NE,65_plus,27/04/2020,"485,648"
VT,55_64,16/05/2020,"214,013"
RI,55_64,10/02/2020,"318,256"
NV,65_plus,26/07/2020,"1,041,967"
ND,45_54,23/03/2020,"220,432"
NH,55_64,31/03/2020,"360,093"
DE,18_24,22/07/2020,"275,265"
DC,35_44,29/08/2020,"316,601"
MT,65_plus,15/03/2020,"318,254"
AR,18_24,08/02/2020,"902,958"
MA,18_24,26/03/2020,"1,249,419"
OK,65_plus,16/07/2020,"1,227,160"
OK,65_plus,26/07/2020,"1,138,109"
IN,55_64,15/06/2020,"1,886,796"
CO,45_54,26/04/2020,"1,479,440"
WI,25_34,05/03/2020,"1,905,456"
WI,25_34,11/07/2020,"2,252,486"
IN,55_64,12/07/2020,"1,774,164"
DE,45_54,13/09/2020,"478,620"
MI,65_plus,21/02/2020,"3,425,455"
IL,55_64,03/05/2020,"2,744,526"
LA,35_44,07/09/2020,"1,639,197"
MD,25_34,12/04/2020,"1,421,057"
TN,45_54,30/05/2020,"2,936,410"
SC,35_44,07/09/2020,"2,012,386"
MA,65_plus,05/07/2020,"1,725,280"
WY,35_44,11/09/2020,"283,996"
NJ,18_24,30/08/2020,"2,492,026"
DC,25_34,07/02/2020,"627,406"
IA,35_44,13/09/2020,"1,104,955"
KY,45_54,02/02/2020,"1,721,763"
TN,45_54,27/03/2020,"2,434,450"
WA,35_44,09/09/2020,"2,787,640"
WI,55_64,11/06/2020,"1,695,041"
IA,18_24,15/09/2020,"999,026"
MN,45_54,09/04/2020,"1,498,551"
WI,35_44,24/06/2020,"1,916,554"
WA,25_34,11/03/2020,"2,686,269"
WI,45_54,16/04/2020,"1,697,537"
LA,55_64,17/06/2020,"1,554,279"
DC,35_44,07/05/2020,"264,554"
VA,65_plus,30/07/2020,"2,482,009"
CO,45_54,26/05/2020,"1,766,472"
