state,age,dt,norm_visits
NC,65_plus,4/2/2020,"1,287,300"
WI,45_54,6/18/2020,"2,228,955"
WI,25_34,7/2/2020,"2,273,780"
UT,45_54,3/18/2020,"847,782"
ND,65_plus,3/24/2020,"58,326"
AL,45_54,2/18/2020,"2,141,972"
NC,45_54,8/21/2020,"4,151,885"
RI,55_64,4/17/2020,"289,245"
NV,45_54,3/13/2020,"1,792,679"
NV,18_24,7/10/2020,"585,271"
NV,18_24,6/7/2020,"589,499"
IN,25_34,5/8/2020,"2,233,988"
MA,55_64,2/9/2020,"1,801,852"
DE,18_24,2/9/2020,"236,802"
MD,65_plus,7/17/2020,"828,747"
ND,25_34,8/16/2020,"285,762"
SD,45_54,4/25/2020,"297,700"
DE,18_24,8/15/2020,"210,820"
IA,35_44,6/26/2020,"1,627,650"
MD,65_plus,4/6/2020,"603,256"
NC,65_plus,3/28/2020,"1,155,611"
ID,45_54,2/28/2020,"662,503"
OR,25_34,6/9/2020,"1,256,326"
AR,45_54,4/4/2020,"1,049,175"
AR,55_64,4/3/2020,"660,148"
AZ,18_24,8/17/2020,"1,005,670"
WI,18_24,4/21/2020,"655,171"
OK,18_24,3/31/2020,"544,669"
IA,35_44,3/29/2020,"1,011,370"
UT,65_plus,2/3/2020,"240,872"
UT,35_44,5/2/2020,"1,384,180"
AZ,45_54,8/2/2020,"2,175,167"
WI,25_34,3/8/2020,"2,472,651"
WI,18_24,4/24/2020,"737,384"
ND,18_24,4/20/2020,"103,478"
MA,35_44,2/15/2020,"3,664,364"
MA,55_64,2/20/2020,"2,101,498"
AL,25_34,2/3/2020,"1,722,559"
KS,25_34,7/25/2020,"1,119,629"
WV,65_plus,6/28/2020,"184,504"
KS,25_34,6/17/2020,"1,080,048"
HI,25_34,2/24/2020,"1,192,264"
WI,18_24,3/4/2020,"1,042,728"
UT,65_plus,6/29/2020,"316,421"
VT,18_24,7/29/2020,"130,563"
VT,18_24,6/10/2020,"110,269"
NH,25_34,4/28/2020,"367,476"
VT,65_plus,2/2/2020,"113,950"
OR,65_plus,3/27/2020,"532,587"
WV,45_54,4/29/2020,"710,933"
AK,55_64,5/24/2020,"149,820"
AK,45_54,7/29/2020,"324,490"
AK,35_44,6/7/2020,"396,746"
ID,45_54,8/13/2020,"664,917"
UT,65_plus,7/15/2020,"367,237"
UT,18_24,2/2/2020,"623,592"
HI,25_34,2/28/2020,"1,253,495"
NM,65_plus,3/5/2020,"390,701"
DE,18_24,3/12/2020,"203,715"
DE,35_44,2/28/2020,"574,987"
ND,55_64,6/5/2020,"154,486"
OK,18_24,3/10/2020,"875,398"
NH,18_24,5/15/2020,"192,206"
WY,55_64,5/7/2020,"118,307"
WY,18_24,7/27/2020,"125,890"
AK,55_64,6/11/2020,"186,555"
AK,45_54,2/21/2020,"359,417"
HI,45_54,2/10/2020,"970,155"
MT,45_54,4/24/2020,"383,842"
DE,35_44,8/12/2020,"493,271"
DE,55_64,5/11/2020,"261,437"
MT,65_plus,4/26/2020,"123,393"
SD,45_54,3/23/2020,"279,468"
HI,55_64,5/7/2020,"432,867"
HI,18_24,8/21/2020,"343,395"
NM,45_54,8/5/2020,"706,412"
HI,35_44,8/9/2020,"799,103"
WY,35_44,4/28/2020,"268,143"
OR,25_34,8/5/2020,"1,473,787"
GA,55_64,8/9/2020,"1,900,151"
CO,18_24,7/22/2020,"1,001,705"
GA,55_64,8/16/2020,"1,976,126"
MT,18_24,3/3/2020,"151,093"
CO,65_plus,2/13/2020,"743,910"
MI,25_34,3/6/2020,"3,687,696"
PA,35_44,5/20/2020,"5,338,242"
IL,35_44,7/15/2020,"5,737,979"
IL,45_54,7/6/2020,"4,549,223"
OR,25_34,2/11/2020,"1,605,182"
IA,45_54,8/7/2020,"1,364,961"
MN,55_64,7/25/2020,"1,126,388"
CA,25_34,6/11/2020,"15,729,520"
ME,18_24,2/21/2020,"245,319"
NV,65_plus,2/23/2020,"603,432"
RI,65_plus,5/26/2020,"150,791"
MI,35_44,8/7/2020,"5,001,572"
KY,18_24,3/6/2020,"936,641"
MS,35_44,7/13/2020,"1,577,654"
MS,65_plus,7/15/2020,"394,817"
LA,18_24,4/3/2020,"635,924"
SC,55_64,6/1/2020,"1,393,401"
SC,35_44,2/11/2020,"2,613,026"
TN,45_54,8/5/2020,"2,843,927"
NJ,25_34,5/8/2020,"2,688,119"
ID,65_plus,6/7/2020,"165,484"
MS,18_24,2/18/2020,"696,966"
CT,25_34,3/23/2020,"901,042"
MD,35_44,4/13/2020,"2,115,311"
MD,45_54,7/21/2020,"2,246,797"
WI,18_24,7/20/2020,"883,353"
ID,25_34,2/23/2020,"529,987"
WV,45_54,2/3/2020,"811,722"
WV,45_54,4/21/2020,"679,117"
IN,65_plus,7/1/2020,"913,415"
IN,55_64,7/22/2020,"1,605,333"
NV,55_64,7/15/2020,"750,441"
MD,25_34,3/28/2020,"1,970,509"
UT,35_44,8/21/2020,"1,516,679"
ID,65_plus,4/21/2020,"220,534"
ID,18_24,3/31/2020,"168,201"
KS,45_54,2/11/2020,"1,176,648"
NH,35_44,2/8/2020,"877,603"
